,A1,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E1_g,E1_h,E2
559,2,2,2,2,2,2,1,1,1,8
560,2,1,2,2,2,2,2,1,2,1
561,2,2,2,1,2,1,2,1,2,7
562,4,2,2,2,2,2,1,1,2,6
563,1,2,2,2,2,2,1,2,2,E1_f
564,2,2,2,2,2,2,1,2,2,E1_f
565,1,2,2,2,2,2,1,1,-98,6
566,2,2,2,2,2,2,1,2,1,8
567,4,2,2,2,1,2,2,2,1,8
568,2,1,2,2,2,2,2,1,2,7
569,5,2,2,2,2,1,1,1,1,8
570,4,2,2,1,2,2,2,2,2,E1_c
571,2,2,2,2,2,2,1,2,2,E1_f
572,2,1,2,2,2,2,2,2,2,E1_a
573,1,2,2,2,2,2,1,2,2,E1_f
574,4,2,2,2,2,2,1,1,2,6
575,1,2,2,2,2,2,1,1,2,6
576,2,1,2,2,2,2,1,2,2,1
577,1,2,2,2,2,2,1,2,2,E1_f
578,1,2,2,2,2,2,1,1,2,6
579,2,1,2,2,2,2,2,1,2,1
580,2,1,2,2,2,2,2,2,2,E1_a
581,5,1,2,2,2,2,2,2,2,E1_a
582,2,1,2,2,2,2,1,2,1,8
583,2,2,2,2,2,2,1,2,2,E1_f
584,4,1,2,2,2,2,2,2,1,8
585,2,1,1,2,2,2,2,1,2,1
586,2,2,2,2,2,2,1,2,2,E1_f
587,2,1,2,2,2,2,2,1,2,1
588,2,2,2,2,2,2,1,2,2,E1_f
589,2,1,2,2,2,2,2,1,2,1
590,2,2,2,2,2,2,1,2,2,E1_f
591,2,1,2,2,2,2,2,2,2,E1_a
